# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      293     29.75	3.00	 0.1
# channel counts
A1	  55142
A2 	  66289
A3	  50651
A4	  58709
B1	  55613
B2	  56042
B3	  61844
B4	  63034
C1	  63049
C2	  58020
C3	  64052
C4	  56435
D1	  61676
D2	  61651
D3	  60855
D4	  62771
E1	  61825
E2	  65145
E3	  57353
E4	  59246
F1	  61746
F2	  55525
F3	  54810
F4	  63336
G1	  56297
G2	  51445
G3	  55213
G4	  62409
H1	  59145
H2	  62014
H3	  64422
H4	  59146

# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      293     32.75	6.00	 0.1
# channel counts
A1	  99045
A2	  111905
A3	  87845
A4	  105577
B1	  98886
B2	  99134
B3	  108144
B4	  107008
C1	  108862
C2	  103236
C3	  111857
C4	  99283
D1	  106796
D2	  108449
D3	  107242
D4	  108544
E1	  107881
E2	  113454
E3	  102176
E4	  106014
F1	  109238
F2	  96525
F3	  98085
F4	  109787
G1	  96955
G2	  93849
G3	  91680
G4	  110851
H1	  104742
H2	  109104
H3	  111062
H4	  103990

# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      293     35.75	9.00	 0.1
# channel counts
A1	  129630
A2	  147379
A3	  115941
A4	  135045
B1	  132285
B2	  130326
B3	  141813
B4	  139359
C1	  142319
C2	  137200
C3	  145084
C4	  132217
D1	  137333
D2	  142014
D3	  140546
D4	  142877
E1	  140610
E2	  150768
E3	  134735
E4	  139520
F1	  140634
F2	  125329
F3	  130061
F4	  145277
G1	  127471
G2	  123864
G3	  129999
G4	  141933
H1	  139142
H2	  144493
H3	  141819
H4	  138158

# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      263     29.00	3.00	 0.1
# channel counts
A1	  6567
A2	  8202
A3	  5765
A4	  7296
B1	  7040
B2	  6701
B3	  7770
B4	  7767
C1	  7740
C2	  7347
C3	  8226
C4	  6638
D1	  7420
D2	  7693
D3	  7510
D4	  7894
E1	  7653
E2	  8425
E3	  7436
E4	  7365
F1	  7745
F2	  6574
F3	  6864
F4	  8150
G1	  6575
G2	  6273
G3	  7691
G4	  7792
H1	  7477
H2	  7732
H3	  8105
H4	  7435

# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      263     32.00	6.00	 0.1
# channel counts
A1	  14780
A2	  18035
A3	  12613
A4	  15611
B1	  14954
B2	  14962
B3	  16281
B4	  16767
C1	  16876
C2	  15299
C3	  16987
C4	  14837
D1	  15825
D2	  16047
D3	  16187
D4	  17122
E1	  15971
E2	  17911
E3	  15866
E4	  15741
F1	  16835
F2	  14322
F3	  14211
F4	  17205
G1	  14230
G2	  13600
G3	  16066
G4	  16847
H1	  15464
H2	  16887
H3	  17040
H4	  15817

# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      263     35.00	9.00	 0.1
# channel counts
A1	  23186
A2	  26274
A3	  19162
A4	  24626
B1	  23137
B2	  21593
B3	  24877
B4	  24824
C1	  25256
C2	  23643
C3	  26560
C4	  22589
D1	  23566
D2	  24531
D3	  25185
D4	  25490
E1	  24612
E2	  27249
E3	  23142
E4	  24466
F1	  25790
F2	  21259
F3	  21687
F4	  27093
G1	  20658
G2	  21625
G3	  23441
G4	  25656
H1	  24428
H2	  24656
H3	  25345
H4	  24869

# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      243     28.45	3.00	 0.2
# channel counts
A1	  2471
A2	  3008
A3	  2130
A4	  2637
B1	  2825
B2	  2539
B3	  2912
B4	  2761
C1	  2894
C2	  2743
C3	  3085
C4	  2424
D1	  2706
D2	  2834
D3	  2746
D4	  2868
E1	  2777
E2	  3019
E3	  2733
E4	  2736
F1	  2782
F2	  2372
F3	  2571
F4	  3026
G1	  2266
G2	  2290
G3	  3004
G4	  2891
H1	  2780
H2	  2869
H3	  2959
H4	  2684

# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      243     31.45	6.00	 0.2
# channel counts
A1	  6092
A2	  7148
A3	  4837
A4	  6176
B1	  6321
B2	  6002
B3	  6881
B4	  6566
C1	  6427
C2	  6320
C3	  7095
C4	  5964
D1	  6291
D2	  6428
D3	  6545
D4	  7101
E1	  6904
E2	  7281
E3	  6225
E4	  6395
F1	  6724
F2	  5710
F3	  5830
F4	  6925
G1	  5172
G2	  5573
G3	  7104
G4	  6696
H1	  6165
H2	  6720
H3	  7107
H4	  6711

# board	serial temp(K) vbias(V) vover(V) time(s)
BCOM	2      243     34.45	9.00	 0.2
# channel counts
A1	  9861
A2	  11689
A3	  8403
A4	  10603
B1	  10590
B2	  9464
B3	  11074
B4	  11405
C1	  11400
C2	  10600
C3	  11229
C4	  10002
D1	  10948
D2	  11033
D3	  10986
D4	  11135
E1	  11314
E2	  12204
E3	  10593
E4	  10912
F1	  10683
F2	  9459
F3	  10005
F4	  11987
G1	  8716
G2	  9087
G3	  11796
G4	  11699
H1	  10210
H2	  10763
H3	  11371
H4	  10792
